voyage_id,vessel_type,dwt,n_ports,nz_dest_port,cluster_k,p_invasion,p_alien_per_port,p_intro_per_port,p_estab_per_port,pr_inv_per_port
1812,RoRo,14283.0,5,AUCKLAND,0,0.0003011965,"[1.0, 1.0, 1.0, 1.0]","[0.42805165, 0.52273413, 0.62217104, 0.70991753]","[0.00013195, 0.00013195, 0.00013195, 0.00013195]","[5.64823e-05, 6.89759e-05, 8.20968e-05, 9.36751e-05]"
1813,RoRo,30089.0,7,AUCKLAND,1,0.0003004598,"[1.0, 1.0, 1.0, 1.0, 0.643148, 1.0]","[0.24653347, 0.30154926, 0.40045149, 0.48448082, 0.60050185, 0.80931131]","[9.591e-05, 9.591e-05, 0.00010419, 0.00012152, 0.00013909, 0.00011567]","[2.36446e-05, 2.89211e-05, 4.17234e-05, 5.88721e-05, 5.37178e-05, 9.36169e-05]"
1814,Container,21475.0,7,AUCKLAND,0,0.0002359384,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.23162504, 0.2551957, 0.28714011, 0.3178716, 0.38007455, 0.41054235]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011623]","[3.05634e-05, 3.36736e-05, 3.78887e-05, 4.19438e-05, 4.41753e-05, 4.77165e-05]"
1815,Container,50278.0,5,AUCKLAND,0,0.0002975964,"[1.0, 0.998457, 0.999965, 0.999902]","[0.48855303, 0.56844214, 0.62541519, 0.68554582]","[0.00011567, 0.00011601, 0.00013371, 0.00013371]","[5.65132e-05, 6.58416e-05, 8.36203e-05, 9.16541e-05]"
1816,Container,52190.0,5,AUCKLAND,0,0.0002580263,"[1.0, 1.0, 1.0, 1.0]","[0.44120447, 0.47285867, 0.5238153, 0.58781101]","[0.00013195, 0.00013195, 0.00013195, 0.00011623]","[5.82179e-05, 6.23947e-05, 6.91185e-05, 6.83201e-05]"
1817,Bulker,61302.0,7,LYTTELTON,4,0.0003412894,"[1.0, 0.999995, 0.999915, 0.999991, 0.999998, 1.0]","[0.03457772, 0.12057089, 0.31555589, 0.54810931, 0.7325307, 0.85765119]","[8.382e-05, 0.00010558, 0.00010558, 0.00014047, 0.00014047, 0.00013117]","[2.8982e-06, 1.27301e-05, 3.33143e-05, 7.69934e-05, 0.0001028999, 0.0001124966]"
1818,General Cargo,38131.0,7,AUCKLAND,4,0.0004429389,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.34190548, 0.45682937, 0.56455953, 0.63893416, 0.71251413, 0.80512777]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[4.51152e-05, 6.02796e-05, 7.44948e-05, 8.43087e-05, 8.28141e-05, 9.60074e-05]"
1819,RoRo,31143.0,7,AUCKLAND,1,0.0003763407,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.30281798, 0.41220848, 0.5122219, 0.61444877, 0.70083609, 0.74651542]","[9.591e-05, 0.00010419, 0.00012152, 0.00011482, 0.00011482, 0.00012209]","[2.90428e-05, 4.29483e-05, 6.2243e-05, 7.05507e-05, 8.04697e-05, 9.11438e-05]"
1820,Container,30136.0,6,TAURANGA,1,0.0002745127,"[1.0, 1.0, 0.999493, 0.999989, 0.999965]","[0.29520855, 0.37440207, 0.43974746, 0.51474782, 0.5637655]","[0.00012209, 0.00011567, 0.00011601, 0.00013371, 0.00013371]","[3.60427e-05, 4.33089e-05, 5.0988e-05, 6.88253e-05, 7.53774e-05]"
1821,Container,22968.0,6,TAURANGA,2,0.0002327568,"[0.999921, 0.999948, 1.0, 1.0, 0.999702]","[0.34677406, 0.37624402, 0.41827596, 0.44989789, 0.50266424]","[0.00011601, 0.00011601, 0.00010437, 0.00010437, 0.00011601]","[4.02251e-05, 4.36447e-05, 4.36564e-05, 4.69569e-05, 5.82953e-05]"
1822,General Cargo,5200.0,6,NAPIER,0,0.000150077,"[1.0, 1.0, 0.999996, 0.999982, 0.999996]","[0.1366412, 0.17625424, 0.25656531, 0.32823141, 0.44074208]","[8.382e-05, 8.498e-05, 0.00010558, 0.00010558, 0.00014047]","[1.14528e-05, 1.49773e-05, 2.70886e-05, 3.46548e-05, 6.19117e-05]"
1823,Container,53124.0,7,TAURANGA,1,0.0003166538,"[1.0, 1.0, 1.0, 1.0, 0.999493, 0.999989]","[0.31697275, 0.35058168, 0.36688468, 0.45772968, 0.52836942, 0.5902391]","[0.00012152, 0.00011482, 0.00012209, 0.00011567, 0.00011601, 0.00013371]","[3.85172e-05, 4.02536e-05, 4.47938e-05, 5.29478e-05, 6.12636e-05, 7.8919e-05]"
1824,Container,52180.0,5,TAURANGA,0,0.0002686878,"[1.0, 1.0, 1.0, 1.0]","[0.4751883, 0.50015139, 0.54338635, 0.58777367]","[0.00013195, 0.00013195, 0.00013195, 0.00011623]","[6.27021e-05, 6.5996e-05, 7.1701e-05, 6.83158e-05]"
1825,RoRo,15068.0,5,AUCKLAND,0,0.000303152,"[1.0, 1.0, 0.999998, 0.999913]","[0.3528467, 0.4438742, 0.64744395, 0.78707505]","[0.00014211, 0.00014211, 0.00013088, 0.00013371]","[5.0142e-05, 6.30777e-05, 8.47365e-05, 0.0001052293]"
1826,Container,119185.0,6,TAURANGA,1,0.0003350156,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.4962003, 0.51599277, 0.57561233, 0.62097735, 0.6831599]","[0.00011482, 0.00011482, 0.00010419, 0.00012152, 0.00012209]","[5.69735e-05, 5.9246e-05, 5.99735e-05, 7.54585e-05, 8.34086e-05]"
1827,Bulker,37655.0,5,NAPIER,3,0.0002067658,"[0.999982, 0.999981, 0.999904, 0.999996]","[0.27201205, 0.50326885, 0.62135761, 0.74773848]","[0.00010558, 8.814e-05, 8.814e-05, 0.00010558]","[2.87191e-05, 4.43555e-05, 5.4759e-05, 7.89476e-05]"
1828,Bulker,34552.0,6,TAURANGA,4,0.0003143534,"[1.0, 1.0, 1.0, 1.0, 0.999989]","[0.13859996, 0.30806797, 0.55109184, 0.71409528, 0.92902799]","[0.00011063, 0.00011063, 0.00011063, 0.00011174, 0.00013371]","[1.53333e-05, 3.40816e-05, 6.09673e-05, 7.97898e-05, 0.0001242174]"
1829,Container,22314.0,5,TAURANGA,2,0.0001868417,"[0.999921, 0.999948, 1.0, 1.0]","[0.37300728, 0.4052766, 0.4461701, 0.47911557]","[0.00011601, 0.00011601, 0.00010437, 0.00010437]","[4.32681e-05, 4.70125e-05, 4.65678e-05, 5.00064e-05]"
1830,General Cargo,17967.0,5,AUCKLAND,1,0.0002536101,"[1.0, 1.0, 1.0, 1.0]","[0.39986389, 0.49923317, 0.61511903, 0.70266154]","[0.00010419, 0.00012152, 0.00011482, 0.00011482]","[4.16622e-05, 6.06647e-05, 7.06277e-05, 8.06793e-05]"
1831,Container,30136.0,6,TAURANGA,1,0.0002430264,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.34256971, 0.3625454, 0.38155357, 0.41568038, 0.46150216]","[0.00011482, 0.00012209, 0.00012209, 0.00012209, 0.0001346]","[3.93337e-05, 4.4264e-05, 4.65848e-05, 5.07514e-05, 6.2116e-05]"
1832,Container,53327.0,6,AUCKLAND,0,0.0003093712,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.42917368, 0.46673635, 0.504652, 0.54952522, 0.59251486]","[0.00013195, 0.00013195, 9.871e-05, 0.00013195, 0.00011623]","[5.66304e-05, 6.15868e-05, 4.98142e-05, 7.2511e-05, 6.88669e-05]"
1833,Bulker,63340.0,5,NELSON,4,0.000292573,"[1.0, 0.999986, 0.999848, 0.999991]","[0.29330244, 0.58847748, 0.74655959, 0.9046406]","[8.382e-05, 0.00010558, 0.00010558, 0.00014047]","[2.45835e-05, 6.21319e-05, 7.88114e-05, 0.0001270756]"
1834,Bulker,63400.0,5,TAURANGA,4,0.0003252041,"[1.0, 0.999989, 0.999968, 0.999999]","[0.29288067, 0.58786502, 0.74086185, 0.88007264]","[0.00011063, 0.00013371, 0.00013371, 0.00013088]","[3.24014e-05, 7.86016e-05, 9.90562e-05, 0.0001151827]"
1835,Bulker,37590.0,6,NEW PLYMOUTH,4,0.00029393,"[1.0, 1.0, 0.999975, 0.999861, 0.999995]","[0.13303067, 0.3065797, 0.60680011, 0.74183556, 0.81425605]","[8.382e-05, 8.498e-05, 0.00010558, 0.00010558, 0.00014047]","[1.11501e-05, 2.60519e-05, 6.40657e-05, 7.83138e-05, 0.0001143797]"
1836,Container,53160.0,7,TAURANGA,1,0.000321858,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.35695202, 0.37800264, 0.44249723, 0.48011879, 0.53182476, 0.55806805]","[0.00011482, 0.00011482, 0.00010419, 0.00012152, 0.00012209, 0.00012209]","[4.09851e-05, 4.34021e-05, 4.61042e-05, 5.8342e-05, 6.49317e-05, 6.81358e-05]"
1837,Container,21475.0,6,AUCKLAND,4,0.0002147817,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.27380237, 0.29894058, 0.35084106, 0.37553838, 0.41025726]","[0.00011623, 0.00013195, 0.00013195, 0.00013195, 0.00011623]","[3.18235e-05, 3.94458e-05, 4.62942e-05, 4.95531e-05, 4.76834e-05]"
1838,Container,41028.0,5,TAURANGA,1,0.0001992162,"[1.0, 1.0, 1.0, 1.0]","[0.38049349, 0.41103888, 0.45310613, 0.50177837]","[0.00010419, 0.00012152, 0.00011482, 0.00011482]","[3.96439e-05, 4.99477e-05, 5.20254e-05, 5.7614e-05]"
1839,General Cargo,10110.0,6,NELSON,1,0.0001968518,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.1774938, 0.22817431, 0.30334028, 0.39109232, 0.579425]","[9.888e-05, 9.888e-05, 9.888e-05, 0.00013061, 0.00013061]","[1.75504e-05, 2.25616e-05, 2.99939e-05, 5.1081e-05, 7.56793e-05]"
1840,Container,63352.0,7,AUCKLAND,1,0.000266754,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.27319873, 0.30194433, 0.31863118, 0.36648694, 0.4294059, 0.58944501]","[0.00012152, 0.00011482, 0.00011482, 0.00010419, 0.00012152, 0.00012209]","[3.3198e-05, 3.46691e-05, 3.65851e-05, 3.81846e-05, 5.21796e-05, 7.19667e-05]"
1841,Container,38975.0,7,AUCKLAND,0,0.0003253514,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.35722488, 0.38939396, 0.42264418, 0.44441558, 0.47785524, 0.52449969]","[0.00011623, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[4.15196e-05, 5.13814e-05, 5.57688e-05, 5.86416e-05, 5.55402e-05, 6.25439e-05]"
1842,Container,53093.0,6,TAURANGA,1,0.0003341202,"[1.0, 1.0, 0.999965, 0.999999, 1.0]","[0.35449951, 0.39717341, 0.53963983, 0.61807453, 0.67693571]","[9.704e-05, 0.00013092, 0.00013371, 0.00013088, 0.00013992]","[3.44015e-05, 5.19978e-05, 7.21517e-05, 8.08927e-05, 9.47199e-05]"
1843,Container,48169.0,5,NELSON,0,0.0002167015,"[1.0, 1.0, 1.0, 1.0]","[0.45745398, 0.50908881, 0.53436185, 0.57185974]","[0.00012132, 0.00010536, 0.00010536, 8.967e-05]","[5.55005e-05, 5.364e-05, 5.63029e-05, 5.12758e-05]"
1844,Container,99863.0,7,TAURANGA,1,0.0004192858,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.44981705, 0.46442061, 0.508028, 0.56138749, 0.61252597, 0.65163929]","[0.00012209, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[5.49192e-05, 5.67022e-05, 6.20263e-05, 7.55601e-05, 8.24431e-05, 8.77076e-05]"
1845,Bulker,39757.0,6,TAURANGA,4,0.0002944222,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.1198998, 0.27269715, 0.5238213, 0.64026378, 0.73828178]","[0.00011063, 0.00011063, 0.00013195, 0.00013195, 0.00013195]","[1.32645e-05, 3.01685e-05, 6.91193e-05, 8.44842e-05, 9.74178e-05]"
1846,General Cargo,63477.0,6,WELLINGTON,1,0.0002499521,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.30600809, 0.3817999, 0.53519128, 0.56031724, 0.74652336]","[0.00012002, 0.00012002, 8.676e-05, 9.888e-05, 8.787e-05]","[3.67261e-05, 4.58224e-05, 4.64314e-05, 5.54034e-05, 6.55934e-05]"
1847,RoRo,31143.0,6,AUCKLAND,1,0.0003771506,"[1.0, 1.0, 1.0, 1.0, 0.998457]","[0.43055654, 0.52579755, 0.59056364, 0.76429795, 0.89789998]","[0.00012152, 0.00011482, 0.00012209, 0.00011567, 0.00011601]","[5.23194e-05, 6.03718e-05, 7.21033e-05, 8.841e-05, 0.0001040021]"
1848,Container,53160.0,5,TAURANGA,1,0.000238506,"[1.0, 1.0, 1.0, 1.0]","[0.31738631, 0.46533958, 0.51504427, 0.5717125]","[0.00013195, 0.00012209, 0.00012209, 0.0001346]","[4.18798e-05, 5.68144e-05, 6.2883e-05, 7.69498e-05]"
1849,Bulker,37520.0,7,AUCKLAND,4,0.0003474664,"[1.0, 1.0, 0.999965, 0.999889, 0.999998, 1.0]","[0.04768803, 0.11957184, 0.31180549, 0.56271426, 0.74847387, 0.8710025]","[0.00011063, 0.00011174, 0.00013371, 0.00013371, 0.00013088, 0.00013088]","[5.2757e-06, 1.33604e-05, 4.16895e-05, 7.52312e-05, 9.79592e-05, 0.0001139957]"
1850,Container,22314.0,6,TAURANGA,2,0.0002260428,"[0.999921, 0.999948, 1.0, 1.0, 0.999702]","[0.34456641, 0.37039209, 0.40768719, 0.43773591, 0.47329762]","[0.00011601, 0.00011601, 0.00010437, 0.00010437, 0.00011601]","[3.9969e-05, 4.29659e-05, 4.25512e-05, 4.56875e-05, 5.48896e-05]"
1851,RoRo,23786.0,7,AUCKLAND,1,0.0003451229,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.28246409, 0.34739106, 0.47143918, 0.57152852, 0.6707103, 0.73045197]","[9.591e-05, 9.591e-05, 0.00010419, 0.00012152, 0.00011482, 0.00012209]","[2.70907e-05, 3.33177e-05, 4.91196e-05, 6.94497e-05, 7.70106e-05, 8.91826e-05]"
1852,RoRo,19550.0,5,AUCKLAND,0,0.0003371865,"[1.0, 1.0, 1.0, 0.999998]","[0.46178608, 0.59152085, 0.70120826, 0.8042294]","[0.00011063, 0.00013992, 0.00013992, 0.00013088]","[5.10874e-05, 8.27683e-05, 9.81163e-05, 0.0001052563]"
1853,RoRo,18833.0,5,NAPIER,0,0.0002722155,"[1.0, 1.0, 0.999996, 0.999982]","[0.48292866, 0.59209289, 0.77534453, 0.8795951]","[8.967e-05, 9.156e-05, 0.00010558, 0.00010558]","[4.33018e-05, 5.42105e-05, 8.18623e-05, 9.28679e-05]"
1854,Container,109657.0,7,TAURANGA,1,0.0004782675,"[1.0, 1.0, 1.0, 0.999493, 0.999989, 0.999965]","[0.46172985, 0.50511323, 0.62498737, 0.70976054, 0.75627164, 0.81185419]","[0.00012152, 0.00011482, 0.00011567, 0.00011601, 0.00013371, 0.00013371]","[5.61075e-05, 5.79969e-05, 7.22952e-05, 8.22956e-05, 0.0001011187, 0.0001085478]"
1855,Container,51737.0,5,AUCKLAND,0,0.0002744715,"[1.0, 1.0, 1.0, 1.0]","[0.49068886, 0.52379103, 0.54946151, 0.58621265]","[0.00013195, 0.00013195, 0.00013195, 0.00011623]","[6.47474e-05, 6.91153e-05, 7.25026e-05, 6.81344e-05]"
1856,Container,51533.0,6,AUCKLAND,0,0.0002784613,"[1.0, 1.0, 1.0, 1.0, 0.999965]","[0.35253303, 0.38354572, 0.44257619, 0.46383776, 0.56852774]","[0.00013195, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[4.65175e-05, 5.06097e-05, 5.14398e-05, 5.3911e-05, 7.60142e-05]"
1857,Container,53278.0,7,AUCKLAND,0,0.0003964563,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.40935042, 0.4422672, 0.49310355, 0.53475992, 0.55917155, 0.68761784]","[0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[5.40147e-05, 5.83581e-05, 6.50661e-05, 6.21541e-05, 6.49914e-05, 9.1937e-05]"
1858,Container,51737.0,6,AUCKLAND,0,0.0003145872,"[1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.37687828, 0.42723384, 0.46308703, 0.56215215, 0.63470693]","[0.00013195, 0.00011623, 0.00011924, 0.00013371, 0.00013371]","[4.97299e-05, 4.96566e-05, 5.52208e-05, 7.51618e-05, 8.48572e-05]"
1859,Container,52190.0,7,AUCKLAND,0,0.0003500313,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.38908665, 0.41764445, 0.45419776, 0.47519427, 0.50796057, 0.57089058]","[0.00011623, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[4.52228e-05, 5.51091e-05, 5.99324e-05, 6.27029e-05, 5.90393e-05, 6.80758e-05]"
1860,Container,22708.0,5,TAURANGA,2,0.0001924253,"[0.999921, 1.0, 1.0, 0.999702]","[0.37472454, 0.42197894, 0.45493358, 0.495345]","[0.00011601, 0.00010437, 0.00010437, 0.00011601]","[4.34673e-05, 4.40429e-05, 4.74824e-05, 5.74465e-05]"
1861,Container,8252.0,7,AUCKLAND,2,0.0001480429,"[0.999862, 1.0, 1.0, 0.999993, 0.99997, 0.999659]","[0.15866383, 0.18117239, 0.20077838, 0.22739027, 0.25861853, 0.28804496]","[0.00011601, 0.00010437, 0.00010437, 0.00011601, 0.00011601, 0.00011601]","[1.84036e-05, 1.89094e-05, 2.09557e-05, 2.63787e-05, 3.00007e-05, 3.34039e-05]"
1862,Bulker,39828.0,5,TAURANGA,3,0.000358182,"[1.0, 0.999961, 0.999999, 1.0]","[0.37031223, 0.64834522, 0.79026808, 0.89570087]","[0.00011553, 0.00013371, 0.00013088, 0.00013992]","[4.27827e-05, 8.66858e-05, 0.0001034292, 0.0001253306]"
1863,Container,26871.0,7,TAURANGA,1,0.0002280075,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.22964415, 0.24615097, 0.29269124, 0.33947071, 0.4038597, 0.42871884]","[0.00011482, 0.00011482, 0.00010419, 0.00012152, 0.00012209, 0.00012209]","[2.63676e-05, 2.82629e-05, 3.04957e-05, 4.1251e-05, 4.93082e-05, 5.23433e-05]"
1864,Tanker,17764.0,7,NEW PLYMOUTH,1,0.0001645215,"[1.0, 1.0, 1.0, 0.875599, 1.0, 0.99967]","[0.00931799, 0.03166426, 0.09513658, 0.2580513, 0.61480816, 0.81345913]","[8.676e-05, 0.00012889, 9.354e-05, 0.00011087, 8.787e-05, 8.814e-05]","[8.084e-07, 4.0811e-06, 8.8991e-06, 2.505e-05, 5.40202e-05, 7.16717e-05]"
1865,RoRo,14906.0,5,NAPIER,0,0.0002718852,"[1.0, 1.0, 1.0, 1.0]","[0.41396789, 0.52460658, 0.66450761, 0.80873962]","[8.382e-05, 8.382e-05, 0.00013117, 0.00013117]","[3.46973e-05, 4.39706e-05, 8.71623e-05, 0.000106081]"
1866,Container,52532.0,6,AUCKLAND,0,0.0003234418,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.42167077, 0.45277628, 0.50638456, 0.55135466, 0.58959469]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011623]","[5.56403e-05, 5.97448e-05, 6.68185e-05, 7.27524e-05, 6.85274e-05]"
1867,RoRo,22088.0,5,AUCKLAND,1,0.0002299348,"[1.0, 1.0, 1.0, 0.643148]","[0.39685093, 0.52680288, 0.61304647, 0.69878983]","[9.591e-05, 0.00010419, 0.00012152, 0.00013909]","[3.80613e-05, 5.4888e-05, 7.44948e-05, 6.25101e-05]"
1868,RoRo,22068.0,7,AUCKLAND,3,0.0004079274,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3374922, 0.40871191, 0.48547878, 0.55704278, 0.62741629, 0.76729295]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011623]","[4.45328e-05, 5.39304e-05, 6.406e-05, 7.3503e-05, 8.27889e-05, 8.9181e-05]"
1869,Container,59266.0,5,AUCKLAND,1,0.0002235654,"[1.0, 1.0, 1.0, 1.0]","[0.39295447, 0.49012166, 0.53404707, 0.60144507]","[0.00011567, 9.704e-05, 9.704e-05, 0.00013092]","[4.54549e-05, 4.75626e-05, 5.18253e-05, 7.87409e-05]"
1870,General Cargo,37644.0,6,NELSON,4,0.0002621985,"[1.0, 1.0, 1.0, 0.999986, 0.999847]","[0.30831538, 0.40410595, 0.51656944, 0.69239678, 0.81730416]","[8.358e-05, 8.358e-05, 8.382e-05, 0.00010558, 0.00010558]","[2.57691e-05, 3.37753e-05, 4.32969e-05, 7.31038e-05, 8.62796e-05]"
1871,Container,41028.0,6,TAURANGA,1,0.0002794295,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.37204349, 0.39153771, 0.42463739, 0.47466442, 0.52379598]","[0.00012209, 0.00012209, 0.00012209, 0.0001346, 0.0001346]","[4.54237e-05, 4.78038e-05, 5.1845e-05, 6.38876e-05, 7.05005e-05]"
1872,General Cargo,20202.0,6,AUCKLAND,2,0.0003917418,"[0.999659, 0.999862, 1.0, 1.0, 1.0]","[0.4494619, 0.5706821, 0.70491078, 0.82734715, 0.90087885]","[0.00011601, 0.00011601, 0.00010437, 0.00011567, 0.00011567]","[5.2123e-05, 6.61941e-05, 7.35731e-05, 9.57031e-05, 0.0001042089]"
1873,Bulker,28344.0,5,NELSON,4,0.0002423739,"[1.0, 1.0, 0.999986, 0.999848]","[0.26971636, 0.50034365, 0.76114102, 0.91799009]","[8.382e-05, 8.498e-05, 0.00010558, 0.00010558]","[2.26066e-05, 4.25171e-05, 8.03618e-05, 9.69087e-05]"
1874,Container,52190.0,7,AUCKLAND,0,0.00037686,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.4040909, 0.43251465, 0.45971039, 0.49818583, 0.52379969, 0.63950114]","[0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924, 0.00013371]","[5.33206e-05, 5.70712e-05, 6.06598e-05, 5.79032e-05, 6.24605e-05, 8.55036e-05]"
1875,Container,52180.0,5,AUCKLAND,4,0.0002753941,"[1.0, 1.0, 1.0, 0.999965]","[0.47148755, 0.50273154, 0.55077489, 0.63434051]","[0.00013195, 0.00013195, 0.00011267, 0.00013371]","[6.22138e-05, 6.63365e-05, 6.20585e-05, 8.48136e-05]"
1876,Tanker,49993.0,5,NEW PLYMOUTH,0,0.0002899614,"[0.99967, 0.999975, 0.999861, 0.999995]","[0.14773559, 0.52926382, 0.86239683, 0.92582556]","[8.814e-05, 0.00010558, 0.00010558, 0.00014047]","[1.30166e-05, 5.58795e-05, 9.10411e-05, 0.000130052]"
1877,Bulker,42446.0,7,LYTTELTON,3,0.0003162225,"[1.0, 1.0, 1.0, 0.999988, 0.999885, 0.999995]","[0.04447313, 0.11641048, 0.35906857, 0.6101969, 0.74533157, 0.85652938]","[8.906e-05, 8.906e-05, 0.00013117, 0.00014047, 0.00010558, 0.00010558]","[3.961e-06, 1.0368e-05, 4.70984e-05, 8.57146e-05, 7.86847e-05, 9.04338e-05]"
1878,Bulker,37687.0,7,NAPIER,4,0.0003302335,"[1.0, 1.0, 0.999996, 0.999982, 0.999996, 0.999999]","[0.04614155, 0.12465596, 0.32598681, 0.59510583, 0.74393573, 0.81198923]","[8.382e-05, 8.498e-05, 0.00010558, 0.00010558, 0.00014047, 0.00014047]","[3.8674e-06, 1.05927e-05, 3.44183e-05, 6.28314e-05, 0.0001045018, 0.0001140618]"
1879,RoRo,17693.0,5,AUCKLAND,0,0.0002965868,"[1.0, 1.0, 1.0, 1.0]","[0.48357064, 0.57994068, 0.6570217, 0.73705225]","[9.871e-05, 0.00013195, 0.00013195, 0.00011623]","[4.77333e-05, 7.65244e-05, 8.66954e-05, 8.56662e-05]"
1880,RoRo,27351.0,7,AUCKLAND,1,0.0003602496,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.29858582, 0.37000373, 0.49658169, 0.60839057, 0.69772291, 0.74040909]","[9.591e-05, 9.591e-05, 0.00010419, 0.00012152, 0.00011482, 0.00012209]","[2.86369e-05, 3.54864e-05, 5.17393e-05, 7.39291e-05, 8.01122e-05, 9.03983e-05]"
1881,Bulker,39777.0,5,AUCKLAND,4,0.0002858325,"[1.0, 1.0, 1.0, 1.0]","[0.32804216, 0.54507128, 0.68330134, 0.76510215]","[0.00013195, 0.00013195, 0.00011623, 0.00011924]","[4.32859e-05, 7.19233e-05, 7.94188e-05, 9.12346e-05]"
1882,Container,26947.0,5,TAURANGA,1,0.0001525922,"[1.0, 1.0, 1.0, 1.0]","[0.28260483, 0.30459721, 0.34885996, 0.40184579]","[0.00011482, 0.00011482, 0.00010419, 0.00012152]","[3.24486e-05, 3.49737e-05, 3.6348e-05, 4.88306e-05]"
1883,Container,50500.0,5,TAURANGA,1,0.0001907091,"[0.854803, 1.0, 1.0, 1.0]","[0.36164053, 0.3938836, 0.43302163, 0.50658041]","[0.00013909, 0.00011482, 0.00011482, 0.00010419]","[4.29968e-05, 4.52255e-05, 4.97193e-05, 5.2781e-05]"
1884,Container,52180.0,5,NELSON,4,0.000204351,"[1.0, 1.0, 1.0, 1.0]","[0.47077393, 0.49688127, 0.53690467, 0.59272561]","[0.00010536, 0.00010536, 8.967e-05, 9.156e-05]","[4.96029e-05, 5.23537e-05, 4.81416e-05, 5.42684e-05]"
1885,Reefer,10608.0,5,TAURANGA,1,0.0002527734,"[1.0, 1.0, 1.0, 1.0]","[0.33866507, 0.42494019, 0.51565721, 0.63656064]","[0.00013195, 0.00013195, 0.00013195, 0.00013195]","[4.46876e-05, 5.60718e-05, 6.80421e-05, 8.39955e-05]"
1886,Bulker,39172.0,7,NEW PLYMOUTH,4,0.0002116746,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999975]","[0.04780919, 0.11761386, 0.25958814, 0.44810248, 0.52521144, 0.73651604]","[0.00010536, 0.00012132, 0.00010536, 8.967e-05, 8.967e-05, 0.00010558]","[5.0374e-06, 1.42695e-05, 2.73514e-05, 4.01791e-05, 4.70931e-05, 7.77611e-05]"
1887,Container,25985.0,7,AUCKLAND,1,0.0002591779,"[1.0, 1.0, 1.0, 0.999965, 0.999902, 0.999998]","[0.19821755, 0.25306605, 0.30941762, 0.36590798, 0.42416861, 0.50490315]","[9.704e-05, 0.00013195, 0.00011267, 0.00013371, 0.00013371, 0.00013088]","[1.92355e-05, 3.33926e-05, 3.48636e-05, 4.89232e-05, 5.67093e-05, 6.60809e-05]"
1888,RoRo,22815.0,7,AUCKLAND,0,0.0004512764,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999862]","[0.35869709, 0.44904219, 0.53662451, 0.61411681, 0.68262694, 0.88679652]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011601]","[4.73308e-05, 5.92521e-05, 7.08087e-05, 8.1034e-05, 9.00741e-05, 0.0001028605]"
1889,Container,105846.0,7,TAURANGA,1,0.0003920837,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999493]","[0.43667486, 0.46874613, 0.51352728, 0.53010919, 0.66517396, 0.76810468]","[0.00010419, 0.00012152, 0.00011482, 0.00012209, 0.00011567, 0.00011601]","[4.54975e-05, 5.69601e-05, 5.8963e-05, 6.47223e-05, 7.69438e-05, 8.90605e-05]"
