ports,transits_hours,dwells_hours,n_ports,vessel_type,dwt,cluster_k,nz_destination
"['MOTUKEA ISLAND', 'LAE', 'HONIARA', 'BRISBANE', 'NEW PLYMOUTH']","[0.26118504171248613, 47.52056809448654, 54.74714932813068, 73.28544208040965, 87.37821723117996]","[32.65933354730293, 27.262531572655952, 23.560983536678375, 18.911390923836905, 16.140385695306723]",5,Tanker,4752.0,3,NEW PLYMOUTH
"['MINA KHALIFA', 'SAID', 'SUEZ CANAL', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'TAURANGA']","[0.0670854012185178, 153.73778952268586, 14.856880568234743, 376.10297388955655, 45.455451140051, 5.307781885087177, 380.1917554097162]","[15.159871474778868, 22.562245819969302, 14.7617290716758, 11.459963473019407, 15.686162869135252, 43.45726076713683, 71.01775421744692]",7,General Cargo,37154.0,0,TAURANGA
"['SUVA', 'LAUTOKA', 'APIA', 'PAGO PAGO HARBOR', ""NUKU'ALOFA"", 'TAURANGA']","[0.8709586219427012, 18.93896723362816, 45.27215269418102, 18.794162746666878, 61.70859597377911, 57.103410313499545]","[32.44621454104956, 29.895683075768872, 27.706755573117245, 26.281964180433192, 17.900403886278283, 29.873026551563626]",6,Container,22968.0,2,TAURANGA
"['TABOGUILLA', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'TAURANGA']","[0.31347048878775907, 221.14604407501247, 124.75269352477788, 89.86410403336892, 47.96980040832208, 61.990354151543784, 123.86891161059896]","[25.85260193904567, 31.627776759985572, 23.389693786290028, 31.158472930623255, 22.724525291908602, 36.76387022290006, 36.86150232526877]",7,Container,43177.0,1,TAURANGA
"['GUANGZHOU', 'KAOHSIUNG', 'BRISBANE', 'NEWCASTLE', 'HAY POINT', 'NEW PLYMOUTH']","[0.27156971659555884, 28.932413849401684, 249.47840904381025, 53.69417316766683, 51.87419442715143, 113.23617423579411]","[39.13984860230072, 42.23488175761245, 47.495616186682355, 63.43447769211788, 65.68293522835015, 82.51486582168529]",6,Bulker,38114.0,4,NEW PLYMOUTH
"['YOKOHAMA', 'OSAKA', 'GAMCHEON', 'LAE', 'AUCKLAND']","[0.8302344157525783, 40.732646054628546, 48.76766230292255, 132.34917225310906, 112.14143354570031]","[24.35669473524092, 22.07595789999528, 23.835840448836827, 28.158711611588846, 29.320283323324308]",5,Reefer,12374.0,0,AUCKLAND
"['SUVA', 'APIA', 'PAGO PAGO HARBOR', ""NUKU'ALOFA"", 'AUCKLAND']","[0.6042196014294392, 44.02477833557161, 14.03454483848468, 25.239892626927205, 60.53585574217985]","[23.79144938807101, 35.88174204360798, 24.545195471681197, 21.04706844520045, 21.51004708049429]",5,General Cargo,20202.0,2,AUCKLAND
"['SHANGHAI', 'NINGBO', 'ZHOUSHAN', 'GUANGZHOU', 'AUCKLAND']","[0.16197037025051775, 21.843873096281765, 5.681324776706188, 44.492071578882936, 263.24159665181946]","[15.797080166246726, 18.905143690209847, 14.03224995440779, 8.95037683198342, 10.345686321020866]",5,Container,51533.0,0,AUCKLAND
"['SINGAPORE', 'NEW PRIOK', 'RANGAI', 'GRESIK, JAVA', 'TAURANGA']","[0.09926055005025014, 74.71735861668164, 21.766639254498823, 121.62105597361898, 276.1712604694095]","[58.38259561435207, 46.66158547451683, 43.76363644955499, 73.8355471557926, 117.89980274017604]",5,General Cargo,12763.0,4,TAURANGA
"['MARCHWOOD', 'BALTIMORE', 'SAVANNAH', 'CRIST_BAL', 'TABOGUILLA', 'AUCKLAND']","[0.36600442104835795, 167.61365002278882, 87.51401715136387, 76.14530102651395, 6.614953574425195, 338.2792307730884]","[27.260537879502774, 26.13554923954958, 31.02313421405796, 22.53592759463228, 19.341619644642062, 32.24232247248158]",6,RoRo,14906.0,4,AUCKLAND
"['LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'NEW WESTMINSTER', 'NEWCASTLE', 'AUCKLAND']","[0.3858895731970209, 93.57886036036592, 47.945638214123484, 22.632854391234073, 354.11223995030446, 259.38184678497635]","[43.460644295943965, 36.201294293225736, 30.124030064681136, 29.58084939435386, 56.090481401837636, 60.739610261919296]",6,General Cargo,43878.0,1,AUCKLAND
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'RODMAN', 'TAURANGA']","[0.3274943309324172, 23.106988670654914, 114.43211079834454, 69.82067306822071, 78.53432371272801, 333.6848902733583]","[18.383338616225007, 16.494823257256225, 18.12665109652708, 21.79135698192247, 31.283488318808182, 28.457020613115233]",6,Container,53160.0,1,TAURANGA
"['SHANGHAI', 'SUZHOU', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'BRISBANE', 'AUCKLAND']","[0.26820920167480944, 46.83852720218142, 45.76413418318043, 59.61450129978327, 93.94248325432183, 190.32373473445318, 103.1893553620852]","[22.135737486061753, 24.09447592051531, 13.244241232691431, 12.140269529059582, 15.617576330046816, 26.17691179960065, 49.03625589392115]",7,Container,24157.0,0,AUCKLAND
"['SAVANNAH', 'CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'NOUMEA', 'BRISBANE', 'TAURANGA']","[0.2714187114379514, 74.96779637146477, 73.20215559856872, 143.0334679623262, 441.55531548156165, 70.68256471009465, 260.2153936470721]","[15.134129942969928, 17.19629614696183, 17.20792223868649, 15.134614935134877, 28.30034801530275, 46.85786075250861, 40.31409872923711]",7,Container,107978.0,1,TAURANGA
"['BUSAN NEW', 'RODMAN', 'BUENAVENTURA', 'CALLAO', 'TAURANGA']","[0.2974664448889235, 401.67426171193864, 43.82019944935634, 56.05576090500308, 304.0617099137667]","[28.428290285185174, 24.417718503428606, 20.186770636954158, 38.60012772130407, 33.52102536122789]",5,Container,53124.0,1,TAURANGA
"['SINGAPORE', 'FREMANTLE', 'ADELAIDE', 'MELBOURNE', 'KEMBLA', 'BRISBANE', 'NAPIER']","[0.5141639699429934, 120.55137328981563, 150.0150817888435, 96.45672920749577, 77.64476682110597, 92.49539534129502, 303.3299261867939]","[40.731093106840035, 56.223342027382024, 64.01807682529704, 36.23380898060495, 35.03692157670825, 39.51648329829573, 48.8509474794336]",7,General Cargo,7285.0,0,NAPIER
"['TOWNSVILLE', 'BRISBANE', 'NEWCASTLE', 'GEELONG', 'ADELAIDE', 'WELLINGTON']","[0.5855444486382191, 116.52047848776722, 94.89769798678401, 93.27810095180988, 63.747407550532756, 243.4592919658383]","[87.3785296985687, 96.63225082358463, 86.5598981647209, 52.400570283575775, 64.55971638151553, 77.60773442912033]",6,Bulker,63666.0,3,WELLINGTON
"['MELBOURNE', 'BOTANY', 'BRISBANE', 'KEMBLA', 'BELL BAY', 'AUCKLAND']","[0.5109397903416699, 27.11828074578359, 32.81876602842258, 34.4485343398697, 92.61575526799818, 76.99217578305527]","[19.16833963359577, 16.045388500565434, 19.42154175098355, 24.79009420014982, 26.149442976079364, 29.437010434725625]",6,Container,5923.0,3,AUCKLAND
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'AUCKLAND']","[0.07030317655115637, 70.36211343371588, 85.78810445056713, 66.7163561511535, 4.615462508771459, 271.5418208023183, 93.3806271538588]","[10.533277815811363, 17.494055563299103, 29.266699519950432, 19.478081039901145, 19.258173211126, 31.256047546970365, 50.69373506832204]",7,Container,62007.0,0,AUCKLAND
"['KEMBLA', 'SHANGHAI', 'OSAKA', 'YOKKAICHI', 'YOKOHAMA', 'SUVA', 'AUCKLAND']","[0.9602074033031764, 228.1581180096694, 41.24011194839898, 37.91240593308088, 22.20035790992614, 198.23240055639243, 201.12939217836967]","[24.80522700013889, 23.41419222746195, 16.69442540164664, 18.998203533342828, 12.23348306033771, 27.573598234937098, 31.052025280323278]",7,RoRo,12867.0,0,AUCKLAND
"['SUVA', 'APIA', 'PAGO PAGO HARBOR', 'RAROTONGA', 'AITUTAKI', 'AUCKLAND']","[0.6369419757058286, 44.02477833557161, 21.613287158666907, 42.30022469719994, 18.456469595115713, 95.3225009801842]","[26.676274672270445, 26.73589199288921, 22.9306540691069, 35.934174157862046, 16.702796141264066, 14.349518000442766]",6,General Cargo,20202.0,2,AUCKLAND
"['SUVA', 'APIA', 'PAGO PAGO HARBOR', 'RAROTONGA', 'ALOFI', 'NEIAFU', 'AUCKLAND']","[0.40074287942237774, 44.02477833557161, 21.613287158666907, 69.5297200300229, 35.773059009441106, 27.592707912404933, 155.5420978344617]","[19.98563540286763, 19.84757390458798, 21.84992285434145, 31.139480410305886, 42.66479854655181, 27.773381779403856, 56.14657530616299]",7,General Cargo,20202.0,2,AUCKLAND
"['HONG KONG', 'KEELUNG', 'SHANGHAI', 'ZHOUSHAN', 'AUCKLAND']","[0.15327166756629884, 39.45918358756408, 45.07492750356893, 16.162548319575574, 255.11707635113606]","[11.46161762532956, 12.882118326150021, 19.116409154173002, 13.997733887868405, 8.591813333597417]",5,Container,50567.0,0,AUCKLAND
"['FUJAIRAH', 'SINGAPORE', 'SRIRACHA', 'ONSAN', 'NEW PLYMOUTH']","[0.32538038222536714, 222.80326479049174, 52.95233147196137, 169.8178921594146, 355.21328430538966]","[32.88056804215526, 27.739784703502995, 34.95818689112395, 41.76013322740309, 29.388426108117738]",5,Tanker,45791.0,4,NEW PLYMOUTH
"['SINGAPORE', 'KLANG', 'NEW PRIOK', 'GRESIK, JAVA', 'GERALDTON', 'NEWCASTLE', 'TAURANGA']","[0.06998621721530496, 61.34188544125755, 82.3423474693039, 71.64189037149542, 104.13531404013409, 155.1981361194627, 197.91250840986962]","[52.969593741677414, 45.434581061067476, 57.527445091424006, 59.393959633696255, 78.01545523424535, 109.40794160418322, 99.3625372277135]",7,Bulker,61171.0,4,TAURANGA
"['SAVANNAH', 'CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'TABOGUILLA', 'PAPEETE', 'AUCKLAND']","[0.28871239042479657, 74.96779637146477, 73.20215559856872, 101.59737526153792, 95.65657788177118, 221.14604407501247, 331.8428988241352]","[19.69034342126963, 25.470633622672338, 21.887385342964283, 14.630626538503408, 19.260693654004633, 29.903811705538555, 50.9321813412588]",7,Container,26871.0,1,AUCKLAND
"['SHANGHAI', 'SUZHOU', 'GAMCHEON', 'GUANGZHOU', 'AUCKLAND']","[0.1320601091602116, 46.83852720218142, 52.56916760679804, 101.15254060687187, 263.24159665181946]","[17.230034182151847, 25.56501552872502, 17.68693468521584, 10.95271927543927, 14.220289044398111]",5,Container,53870.0,0,AUCKLAND
"['SHANGHAI', 'SUZHOU', 'YOSU', 'KASHIMA', 'LYTTELTON']","[0.10028706634141371, 31.265331993438835, 69.80145857765916, 55.21016405245342, 347.0441844151315]","[42.45185268260814, 42.23709041951725, 43.63011845351899, 61.97651566466972, 84.30272408434094]",5,Bulker,29738.0,4,LYTTELTON
"['AL JUBAYL', 'FUJAIRAH', 'SINGAPORE', 'KLANG', 'TAURANGA']","[0.18035363946076988, 36.096554275391284, 216.78155493128926, 20.125524682364503, 337.22618894682375]","[51.5843067460624, 44.282858887212036, 51.91821496375711, 57.782090538259716, 48.02802879618757]",5,Bulker,37721.0,4,TAURANGA
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'RODMAN', 'TABOGUILLA', 'TAURANGA']","[0.3590560308664663, 28.864111048817183, 207.16542075125372, 64.92191809426068, 78.53432371272801, 2.8198351552224974, 333.0481086477313]","[17.472923283543572, 12.915246749689798, 14.20969847652808, 13.664304872879432, 13.043239856304833, 28.358953887288827, 27.590046374136023]",7,Container,35031.0,1,TAURANGA
"['SINGAPORE', 'SRIRACHA', 'BIRINGKASSI', 'BRISBANE', 'KEMBLA', 'WELLINGTON']","[0.40162960893789434, 134.8702605770802, 165.20184078275923, 217.08967377033503, 73.13287806417112, 200.69010364806522]","[91.91815632124059, 82.25511560482951, 70.30035291373221, 94.0215666445173, 119.34847577355421, 93.18292658809528]",6,Bulker,61105.0,4,WELLINGTON
"['SURABAYA', 'GRESIK, JAVA', 'PORTLAND', 'DESA LALANG', 'PORT CHALMERS']","[0.07704082114835731, 29.14856722147919, 173.79110121525326, 217.82158462211828, 343.7549624796131]","[47.56006992992889, 45.21731338505182, 62.11033078526632, 70.17617702161186, 71.28159382790746]",5,Bulker,33963.0,3,PORT CHALMERS
"['LOS ANGELES', 'SAN FRANCISCO', 'BOTANY', 'MELBOURNE', 'AUCKLAND']","[0.7331338692607039, 81.37292205249211, 317.20608118512826, 114.33550164062014, 81.89594354864074]","[21.041506851927167, 20.54505606299416, 21.383274904691373, 32.04068374995735, 41.77080371371982]",5,Container,27025.0,1,AUCKLAND
"['LOS ANGELES', 'SAN FRANCISCO', 'US PDX', 'LINNTON', 'AUCKLAND']","[0.3439264837589824, 45.82080563394578, 60.55817394888568, 76.47666181281146, 391.32283650930606]","[59.593670051837236, 53.389491454767175, 42.00854581307486, 52.97203193899169, 85.58079752911313]",5,Bulker,38180.0,1,AUCKLAND
"['ANTWERPEN', 'GIOIA TAURO', 'SAID', 'SUEZ', 'SINGAPORE', 'MELBOURNE', 'AUCKLAND']","[0.8123019130651474, 139.9604401354364, 160.01500672192628, 17.79410975799331, 247.81331023166442, 191.12454927615758, 177.92424707559928]","[28.092022142528183, 25.5020293114816, 40.03106179629842, 31.247070163811507, 23.03644381186689, 52.96250483984401, 55.477325734099274]",7,RoRo,22438.0,1,AUCKLAND
"['US SSI', 'CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'AUCKLAND']","[0.9153250784347673, 123.84735581195078, 6.614953574425195, 224.61954214948906, 119.28624943147716]","[42.000206824312734, 39.606835783532496, 41.14913240346844, 24.63291928252226, 32.46156025334752]",5,RoRo,31143.0,1,AUCKLAND
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'RODMAN', 'TAURANGA']","[0.5644315758748184, 35.420669668378686, 101.9377699185403, 104.5099595652241, 101.67250688485879, 336.790884318488]","[25.87632383169145, 17.786033457839814, 21.82903284842121, 25.45033047670566, 37.05682347952969, 32.83285884351992]",6,Container,43197.0,1,TAURANGA
"['SHANGHAI', 'NINGBO', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'BRISBANE', 'AUCKLAND']","[0.17214244929333344, 21.843873096281765, 5.681324776706188, 63.03599221627155, 50.06775335014111, 226.400673196299, 127.95847096532952]","[15.072983823939815, 20.911067853969957, 14.094626385190058, 11.84482309688777, 9.866739024116443, 28.95004152006138, 54.24711840216224]",7,Container,30700.0,0,AUCKLAND
"['KINGSTON', 'PAPEETE', 'NOUMEA', 'LAUTOKA', 'BRISBANE', 'BOTANY', 'TAURANGA']","[0.3627928691983522, 262.1869364688899, 153.987775036403, 84.37982483883921, 71.56278417194935, 27.83014486780226, 66.4727644841179]","[18.16747204335302, 15.656237077507981, 17.2535303886284, 13.282313028729178, 29.15190385487779, 16.89393551602738, 31.40518322455756]",7,Container,43206.0,1,TAURANGA
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'AUCKLAND']","[0.14594007669153775, 49.523877487910475, 61.82209079235533, 44.06218759941033, 4.615462508771459, 280.0265705460225, 157.7112978283186]","[12.146060958267372, 20.638592822737643, 20.86231450009251, 18.04673255149804, 14.388856649185568, 27.506969031003653, 54.58029826973524]",7,Container,52190.0,0,AUCKLAND
"['BUSAN NEW', 'RODMAN', 'BUENAVENTURA', 'CALLAO', 'TAURANGA']","[0.24178396030486926, 401.67426171193864, 55.884323782858246, 56.05576090500308, 304.0617099137667]","[26.501974869756133, 29.11332734520527, 20.616849510806855, 37.86950502370877, 30.892809063155195]",5,Container,35036.0,1,TAURANGA
"['YOKKAICHI', 'OSAKA', 'SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'AUCKLAND']","[0.3520362612440098, 37.91240593308088, 41.24011194839898, 13.04346004737678, 41.60570341856723, 75.81323209997902, 248.96129630304344]","[26.531197169860846, 19.37204573189217, 14.264655866097302, 16.342620310494283, 17.452078051850357, 25.341998504040593, 40.938520694710405]",7,RoRo,27564.0,4,AUCKLAND
"['LAE', 'KIMBE', 'RABAUL', 'HONIARA', 'LUGANVILLE', 'TAURANGA']","[0.317518691317916, 8.632577713967148, 16.241004379292434, 55.930499531692526, 43.8626768858779, 154.6102015443308]","[29.315637046255166, 26.26159767898983, 26.85327617260836, 28.580743237313172, 25.528345282781174, 41.422423569965105]",6,Container,12502.0,3,TAURANGA
"['SUVA', 'APIA', 'PAGO PAGO HARBOR', 'SHANGHAI', 'SUZHOU', 'LYTTELTON']","[1.1047014392283367, 55.948155801455584, 19.211810807703916, 327.32458016102817, 47.879383362229895, 382.0368713971339]","[39.00627279132556, 37.7618508812712, 43.89146939261269, 40.565289065418554, 45.00480313525624, 77.17725540942317]",6,Tanker,5183.0,2,LYTTELTON
"['TOKYO', 'SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'BRISBANE', 'AUCKLAND']","[0.15632066249313148, 65.390489883987, 16.162548319575574, 42.196295726775354, 32.23382216929266, 190.32373473445318, 163.34120779212716]","[14.965707798593936, 20.11002966967948, 17.351835785838585, 10.307152555475684, 10.702271579562982, 29.565443934372855, 59.68506254637843]",7,Container,53327.0,0,AUCKLAND
"['CHENNAI', 'SINGAPORE', 'NEW PRIOK', 'BRISBANE', 'AUCKLAND']","[0.2943754957607225, 81.75320632227884, 114.49540192216583, 175.51524194007476, 302.14790241405126]","[25.939591097077354, 33.03960407295399, 29.0416774497196, 54.26691600629007, 59.8304527302168]",5,General Cargo,12867.0,0,AUCKLAND
"['SAN FRANCISCO', 'LOS ANGELES', 'NEW WESTMINSTER', 'PHILADELPHIA', 'RODMAN', 'TAURANGA']","[0.5491501201077205, 59.78964965456555, 60.20430337887938, 300.72683780230386, 151.00358254330035, 395.7136843167957]","[29.280912622941567, 34.21043713515811, 25.168998357252523, 26.299509185984988, 36.299519879856355, 36.32777462852364]",6,Container,53093.0,1,TAURANGA
"['NEW YORK', 'GIOIA TAURO', 'SAID', 'SUEZ', 'CRIST_BAL', 'TABOGUILLA', 'AUCKLAND']","[0.8958142929011006, 209.70531158424228, 104.87589234130027, 17.79410975799331, 317.7298281609117, 6.614953574425195, 338.2792307730884]","[30.80707519566174, 31.932837976037924, 46.48442805669846, 40.19424807775455, 32.92244982069252, 59.93852741686115, 54.01851150612119]",7,RoRo,23786.0,1,AUCKLAND
"['QINGDAO', 'SHANGHAI', 'SUZHOU', 'HONG KONG', 'BRISBANE', 'TAURANGA']","[0.10547988966963384, 20.87095439350122, 27.750844502357523, 57.56852742256433, 199.12325821468943, 246.60762835465158]","[14.807869193530088, 13.130167189613976, 13.457222718829108, 14.888215655330187, 45.63633648686679, 43.216119894163064]",6,Container,80293.0,0,TAURANGA
"['BRISBANE', 'BOTANY', 'SINGAPORE', 'FREMANTLE', 'AUCKLAND']","[0.3822576698534046, 88.24745039656533, 202.17175945313394, 118.51275319704109, 259.82824021536146]","[29.232199246220418, 19.47956128906907, 34.67528839814577, 38.006509527210994, 52.31694286502471]",5,Container,31756.0,0,AUCKLAND
"['QINGDAO', 'SHANGHAI', 'ZHOUSHAN', 'BRISBANE', 'KEMBLA', 'NELSON']","[0.33566350434380565, 41.00663560168647, 20.652145075013234, 263.9976828931852, 42.93450332764127, 144.03743992310092]","[32.891460571943014, 39.2208062858481, 54.56998519008031, 76.7064022144153, 73.076689318026, 94.93159357544117]",6,Bulker,32561.0,3,NELSON
"['YOKOHAMA', 'OSAKA', 'GAMCHEON', 'SHANGHAI', 'AUCKLAND']","[0.33680576780608296, 39.810204068810954, 79.51249288519982, 65.67642816196606, 300.81309202610964]","[21.395420278012445, 25.49318026371647, 27.007875130541837, 31.753364501851557, 33.5532146513445]",5,Container,38975.0,0,AUCKLAND
"['HONG KONG', 'GUANGZHOU', 'SHANGHAI', 'ZHOUSHAN', 'NINGBO', 'BRISBANE', 'AUCKLAND']","[0.33988023738776274, 20.23024278076341, 74.31572411409954, 16.162548319575574, 5.681324776706188, 292.77731636122434, 190.73568391131516]","[21.530034492950257, 17.77814237321282, 24.050919655567924, 14.609842047980024, 12.875144333897065, 37.52250172547603, 57.79234595147257]",7,Container,53327.0,0,AUCKLAND
"['BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'AUCKLAND']","[0.12788486196273996, 100.2854299680919, 48.70307453177615, 4.615462508771459, 262.4080045350207]","[16.85403674651474, 33.13684764362549, 18.811546126464982, 26.434946066403995, 22.13058449314661]",5,Container,21361.0,0,AUCKLAND
"['KINGSTON', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'AUCKLAND']","[0.3816634767906171, 262.1869364688899, 124.75269352477788, 83.03094101071541, 95.30734979310182, 63.879715881315406]","[19.87565887970522, 23.621170378874716, 11.722704749592836, 33.25905180092318, 22.71228537504343, 48.63114566723853]",6,Container,34965.0,1,AUCKLAND
"['SANTOS', 'R_O DE LA PLATA', 'SAN LORENZO', 'ZONA COMUN', 'PORT CHALMERS']","[0.684104900521578, 55.89033881883374, 71.34206601803434, 35.73052252172099, 406.1495298778058]","[63.936697608275, 51.84555251142286, 63.22717470959371, 52.533158788245515, 41.22401684164678]",5,Bulker,38929.0,1,PORT CHALMERS
"['LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'BOTANY', 'TAURANGA']","[0.6582476616805186, 81.37292205249211, 121.16432352938907, 337.59634876417846, 63.879715881315406]","[31.459665155696143, 28.991212301564925, 17.513191785835247, 23.3879139652631, 30.605475353306645]",5,Container,109657.0,1,TAURANGA
"['SAN FRANCISCO', 'LOS ANGELES', 'NEW WESTMINSTER', 'SEATTLE', 'AUCKLAND']","[0.4670521308522295, 81.37292205249211, 102.87009826280587, 19.680742948899194, 310.6266414363564]","[23.59837896031171, 17.19857270748526, 31.315455320752918, 41.32836961743606, 50.379532407299195]",5,Container,26868.0,1,AUCKLAND
"['TOKYO', 'OSAKA', 'GAMCHEON', 'LA PAZ', 'AUCKLAND']","[0.36505258846369393, 54.540817523729075, 48.76766230292255, 81.88564964643959, 189.99663979505598]","[20.24828595401695, 24.28896178779113, 15.036646516752299, 21.965830429864887, 41.047033320477766]",5,Reefer,12313.0,0,AUCKLAND
"['KINGSTON', 'PAPEETE', 'NOUMEA', 'LAUTOKA', 'SUVA', 'BRISBANE', 'TAURANGA']","[0.3403156360895827, 262.1869364688899, 124.75269352477788, 70.32371712797101, 18.93896723362816, 73.0217368326574, 155.43544105856952]","[33.863251822048674, 29.549971920168208, 17.57532125460189, 15.402969110114483, 30.95675578863692, 29.635574897555973, 44.69796735040922]",7,Container,41028.0,1,TAURANGA
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'TAURANGA']","[0.5664355394921099, 29.536213520823008, 126.55479340148008, 120.14850116714146, 412.2192139860865]","[32.088000258416194, 20.11930432632889, 20.984111502183595, 30.868646088051975, 30.775478584444546]",5,Container,53142.0,1,TAURANGA
"['CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'COLON', 'TABOGUILLA', 'TAURANGA']","[0.37743495218275, 101.59737526153792, 102.64980296844278, 77.32008740147614, 8.196790298744263, 333.0481086477313]","[18.04137198215701, 15.924663127709763, 12.707207808878984, 11.424346478052817, 13.76794202925615, 15.115498227010523]",6,Container,22314.0,2,TAURANGA
"['GROSSENSIEL', 'MARCHWOOD', 'BALTIMORE', 'SAVANNAH', 'CRIST_BAL', 'TABOGUILLA', 'AUCKLAND']","[0.5507416037904651, 45.94830773001596, 174.9410227013807, 47.77376095874144, 121.57407770182452, 9.426308843555903, 353.06739386699394]","[24.751522447873146, 27.83874952066104, 35.56896292125967, 29.564859742131976, 21.2763989990733, 44.87179126856501, 53.88706959920088]",7,General Cargo,9023.0,1,AUCKLAND
"['SAVANNAH', 'CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'TAURANGA']","[0.47158807638601763, 124.89385031595957, 5.027364716563148, 205.2743184236958, 195.86691161080424]","[30.398834962251602, 33.654924048281735, 30.749021267189825, 50.7250019814252, 66.53361837334967]",5,Reefer,13067.0,1,TAURANGA
"['QINZHOU', 'SINGAPORE', 'BRISBANE', 'BOTANY', 'LYTTELTON']","[0.6998093946885393, 205.71624306879042, 243.37466474947547, 97.42529089961518, 212.1477164388699]","[97.93010411332719, 62.41155184348861, 60.02971896456478, 74.46086018321441, 65.69354928216117]",5,Tanker,50301.0,4,LYTTELTON
"['RABAUL', 'KIMBE', 'LAE', 'MOTUKEA ISLAND', 'NOUMEA', 'BOTANY', 'AUCKLAND']","[0.27172601970571475, 71.91940417525804, 8.632577713967148, 45.27076340510741, 123.24996501130488, 52.763873760228044, 97.72865334978346]","[15.35808751042071, 27.07065510205485, 26.69671997134204, 27.10980895051181, 32.01179632313616, 28.937700269723727, 83.97549625115147]",7,Container,5923.0,3,AUCKLAND
"['KINGSTON', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'TAURANGA']","[0.3853556250144863, 262.1869364688899, 124.75269352477788, 74.52541519130435, 67.89575796122436, 63.879715881315406]","[20.891895820564752, 27.409616653322622, 28.076962513157444, 28.21172454803054, 15.540368637985576, 28.19466511456518]",6,Container,22314.0,2,TAURANGA
"[""NUKU'ALOFA"", 'SUVA', 'APIA', 'RAROTONGA', 'AUCKLAND']","[0.6940248787244405, 36.91654819585246, 44.02477833557161, 79.04952937827149, 94.51605208196338]","[24.536621540346964, 21.132706738771393, 36.12307296688122, 23.4585537386128, 13.758194450567068]",5,General Cargo,8378.0,2,AUCKLAND
"['SHENZHEN', 'HONG KONG', 'SHANGHAI', 'NINGBO', 'AUCKLAND']","[0.16922376783603976, 4.615462508771459, 47.89560621119037, 21.843873096281765, 253.8341065930188]","[16.541759941535446, 26.897904306650698, 25.77121460212199, 16.486435399604613, 18.305990181713863]",5,Container,38420.0,0,AUCKLAND
"['KEELUNG', 'SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'TAURANGA']","[0.5821653804862204, 25.928465020161024, 9.913029636006351, 38.02243709543705, 275.7866351553239]","[23.46847475649003, 30.34555625406269, 11.773104982522307, 21.108361716945126, 35.39807155692611]",5,Reefer,12354.0,0,TAURANGA
"['SINGAPORE', 'NEW PRIOK', 'BRISBANE', 'KEMBLA', 'LYTTELTON']","[0.29644044860171825, 127.21711324685091, 217.02222483130862, 61.076589317775706, 98.24094970005049]","[65.4143470080946, 59.15377521311303, 96.19630066566425, 116.02701796401489, 122.40400992515251]",5,Bulker,85267.0,4,LYTTELTON
"['ZHUHAI', 'GUANGZHOU', 'KAOHSIUNG', 'TAICHUNG', 'YOKKAICHI', 'NAPIER']","[0.46317722429343133, 9.287177434083612, 27.807942276054078, 28.086540990551697, 74.87416424971113, 339.74219747784053]","[25.40977089075798, 27.490202362005242, 39.565933753165886, 35.03202535049529, 28.19544632236538, 57.98571475035113]",6,Bulker,40236.0,3,NAPIER
"['BRISBANE', 'BOTANY', 'HÃ\x83Â¡Ã\x82Âº LONG', 'SHANGHAI', 'LYTTELTON']","[0.4518236379380114, 97.42529089961518, 321.8881341827879, 82.85399208845746, 375.3904416740408]","[44.08957545357026, 52.917086712495085, 45.97321776917343, 52.70579590027335, 41.34216938275272]",5,Tanker,45800.0,4,LYTTELTON
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'TAURANGA']","[0.42432873314126485, 34.94186156771687, 119.66143885517678, 96.45883071768473, 412.2192139860865]","[23.27728683295032, 19.428966224848892, 19.54666892829944, 24.63668750811621, 33.4262403655594]",5,Container,68411.0,1,TAURANGA
